fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,free_total_SO2_ratio,acid_ratio,sulphate_alcohol,is_red,quality,quality_label,wine_type
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,0.3398058219436328,30.357034439162717,7.875,1,7,high,red
8.1,0.56,0.28,1.7,0.2,16.0,56.0,0.9968,3.11,1.02,9.3,0.285714280612245,14.464259885250202,9.486,1,5,medium,red
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,0.20689654458977433,12.542351623132843,4.5,1,4,low,red
7.9,0.32,0.51,1.8,0.2,17.0,56.0,0.9969,3.04,1.02,9.2,0.30357142315051033,24.68742285180359,9.383999999999999,1,6,medium,red
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,0.48333332527777795,40.454361571083766,4.982,1,6,medium,red
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,0.3239436574092443,19.487129520180716,6.305,1,5,medium,red
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,0.2702702629656686,18.37205029755745,8.645,1,5,medium,red
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,0.1343283562040544,17.346903373666585,4.982,1,5,medium,red
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,0.5249999868750004,17.249956875107813,6.111,1,6,medium,red
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,0.4782608487712674,16.153804733834015,5.208000000000001,1,5,medium,red
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,0.3636363305785154,18.536540154780113,5.6049999999999995,1,5,medium,red
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,0.39999998857142893,9.999985915512795,5.170000000000001,1,5,medium,red
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,0.4999999687500019,12.093004506969756,5.782,1,6,medium,red
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,0.20731707064247476,9.925911220872264,5.454,1,5,medium,red
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,0.5945945785244708,10.072977995652561,6.041999999999999,1,6,medium,red
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,0.1327433616571384,12.67173637902843,6.468000000000001,1,5,medium,red
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,0.4819277050370156,11.404939826545741,4.888000000000001,1,6,medium,red
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,0.25999999480000013,16.249949218908693,5.06,1,5,medium,red
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,0.27777776234567986,12.093004506969756,5.28,1,6,medium,red
7.8,0.6,0.14,2.4,0.086,3.1700000000000017,15.0,0.9975,3.42,0.6,10.8,0.2113333192444455,12.999978333369445,6.48,1,6,medium,red
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,0.4333333188888894,21.315733379649,7.0809999999999995,1,7,high,red
5.7,0.8891499999999997,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,0.36842103324099823,6.410609671473127,4.704,1,4,low,red
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,0.13793103289734446,16.222186172919617,8.715,1,5,medium,red
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,0.3695652093572781,14.426205858678921,4.743,1,4,low,red
7.5,0.49,0.2,2.6,0.2,8.0,14.0,0.9968,3.21,0.9,10.5,0.5714285306122479,15.306091212058751,9.450000000000001,1,6,medium,red
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.02,10.3,0.39130433081285515,12.272708677714123,10.506,1,5,medium,red
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,0.4545454132231443,10.149238583225994,4.94,1,5,medium,red
5.0,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.65,0.56,13.1,0.12307692118343198,9.615366124295914,7.336,1,4,low,red
7.7,0.8891499999999997,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,0.19298245444752232,8.659946398305802,6.715999999999999,1,5,medium,red
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,0.3243243155588023,29.99989655208086,5.51,1,5,medium,red
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,0.41666663194444736,15.999960000100002,5.152,1,5,medium,red
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,0.12499999869791668,18.06445785658756,5.335999999999999,1,5,medium,red
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,0.17391303591682453,13.33331313134374,6.808,1,5,medium,red
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,0.5333332977777802,12.692283284070605,5.922000000000001,1,6,medium,red
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,0.42857139795918586,13.199973600052799,6.016,1,6,medium,red
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,0.25210083821764,22.631519390738447,5.264000000000001,1,5,medium,red
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,0.4520547883280166,14.901931564840067,6.425999999999999,1,6,medium,red
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,0.5555555432098769,12.419334807524503,5.035,1,5,medium,red
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,0.39999996000000404,24.28565646272271,6.048,1,5,medium,red
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,0.4545454504132232,11.90474300834443,7.238,1,5,medium,red
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,0.31481480898491093,13.220316575734618,5.8999999999999995,1,5,medium,red
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,0.19565216965973545,18.71790072333148,5.0760000000000005,1,6,medium,red
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,0.3653846083579883,21.9999450001375,5.888,1,5,medium,red
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,0.17857142697704084,11.159404116805629,6.603,1,5,medium,red
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,0.3428571330612248,14.42304918644387,5.89,1,7,high,red
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,0.24074073628257897,9.523796566263176,5.586,1,5,medium,red
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,0.3636363305785154,9.931020784798918,4.251,1,5,medium,red
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,0.2820512748191981,14.42304918644387,5.568,1,5,medium,red
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,0.39999997333333515,9.3616888486683,6.2059999999999995,1,5,medium,red
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,0.41538460899408297,29.062409179971315,8.453,1,5,medium,red
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,0.4210526094182837,11.347501634749454,9.975,1,6,medium,red
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,0.5555555349794246,12.222202821900282,5.130000000000001,1,6,medium,red
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,0.1770833314887153,11.49252016041767,4.56,1,5,medium,red
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,0.19148935966500683,11.159404116805629,4.56,1,5,medium,red
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,0.25581394753921055,12.29627807958803,4.8759999999999994,1,4,low,red
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,0.3373493935259109,30.312405273733518,7.871999999999999,1,5,medium,red
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,0.2142857091836736,21.463362284482237,6.930000000000001,1,5,medium,red
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,0.4666666511111116,8.662409347249238,5.885,1,6,medium,red
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,0.14999999812500003,8.933321422238103,5.252,1,5,medium,red
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.02,9.1,0.22689075439587603,13.279978752033998,9.282,1,4,low,red
6.2,0.45,0.2,1.6,0.069,3.1700000000000017,15.0,0.9958,3.41,0.56,9.2,0.2113333192444455,13.777747160561866,5.152,1,5,medium,red
7.8,0.43,0.7,1.9,0.2,22.0,67.0,0.9974,3.13,1.02,9.4,0.3283582040543552,18.13949269885419,9.588000000000001,1,5,medium,red
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,0.28767122893601055,14.7999704000592,5.186999999999999,1,5,medium,red
7.3,0.67,0.26,1.8,0.2,16.0,51.0,0.9969,3.16,1.02,9.4,0.3137254840445984,10.895506126110257,9.588000000000001,1,5,medium,red
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,0.29508196237570555,20.999930000233334,8.034,1,6,medium,red
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,0.4749999881250003,12.545431735578662,5.959,1,5,medium,red
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.02,9.9,0.1470588224480969,17.55098458982737,10.098,1,6,medium,red
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,0.29032257127991706,15.71425364438032,6.144,1,5,medium,red
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.02,9.5,0.27199999782400003,23.846092702326406,9.69,1,5,medium,red
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,0.333333319444445,11.290304370476822,4.7700000000000005,1,5,medium,red
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,0.2999999978571429,15.192278476387544,5.130000000000001,1,5,medium,red
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.02,9.8,0.14285714178302902,17.55098458982737,9.996,1,5,medium,red
5.0,0.8891499999999997,0.04,1.4,0.045,41.0,85.0,0.9938,3.65,0.48,10.5,0.4823529355017302,5.62334181708169,5.04,1,4,low,red
5.0,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.65,0.6,12.9,0.1603773569775721,8.333319444467593,7.74,1,6,medium,red
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,0.34782607183364905,8.774182226861642,5.992,1,5,medium,red
7.0,0.5,0.25,2.0,0.07,3.1700000000000017,22.0,0.9963,3.25,0.63,9.2,0.14409090254132267,13.999972000056,5.795999999999999,1,5,medium,red
7.6,0.8891499999999997,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,0.499999950000005,8.547479561964169,5.488000000000001,1,5,medium,red
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,0.37142856081632686,14.86235805071917,5.31,1,6,medium,red
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,0.2199999956000001,13.606535071253983,6.2219999999999995,1,6,medium,red
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,0.36363634710743875,15.599968800062399,5.824000000000001,1,6,medium,red
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,0.18461538177514797,14.086932022726916,4.691999999999999,1,5,medium,red
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,0.1388888850308643,14.693847563576401,4.512,1,5,medium,red
7.8,0.41,0.68,1.7,0.2,18.0,69.0,0.9973,3.08,1.02,9.3,0.26086956143667306,19.0243438430638,9.486,1,5,medium,red
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,0.2343749963378907,9.841254220231397,7.347000000000001,1,5,medium,red
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,0.22499999718750005,24.24235078075521,7.68,1,6,medium,red
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,0.24183006377888847,10.318458193046887,6.417,1,5,medium,red
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,0.25531914350384805,13.92854655616686,8.835,1,5,medium,red
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,0.10185185090877916,13.548365244572187,6.468000000000001,1,5,medium,red
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,0.12612612498985473,13.999976666705557,6.468000000000001,1,5,medium,red
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,0.47826085916824224,32.58054006277399,6.499,1,6,medium,red
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,0.20967741597294492,23.499941250146875,6.615,1,6,medium,red
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,0.2749999931250002,15.370341906774247,6.1,1,6,medium,red
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,0.24999999107142887,13.92854655616686,4.7,1,6,medium,red
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,0.24999999553571436,15.999970909143801,6.54,1,6,medium,red
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,0.247191008458528,10.144912833459662,4.968,1,6,medium,red
7.3,0.8891499999999997,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,0.11235954929933091,8.210079052939268,5.13,1,5,medium,red
7.3,0.695,0.0,2.5,0.075,3.1700000000000017,13.0,0.998,3.49,0.52,9.2,0.243846135088759,10.503582009234519,4.784,1,5,medium,red
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,0.32352940224913523,11.267589763958078,5.035,1,5,medium,red
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,0.20588235092272206,15.599968800062399,4.56,1,5,medium,red
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,0.2999999966666667,14.516105619184485,6.58,1,5,medium,red
8.2,0.8891499999999997,0.0,1.7,0.081,3.1700000000000017,12.0,0.9964,3.53,0.49,10.9,0.2641666446527798,9.22228058001397,5.341,1,5,medium,red
8.1,0.8891499999999997,0.0,1.8,0.082,3.1700000000000017,12.0,0.9964,3.54,0.48,10.9,0.2641666446527798,9.109813743672337,5.232,1,5,medium,red
8.0,0.59,0.16,1.8,0.065,3.1700000000000017,16.0,0.9962,3.42,0.92,10.5,0.19812498761718836,13.559299052035506,9.66,1,7,high,red
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,0.31578945706371275,16.052589335291223,5.358,1,5,medium,red
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,0.22388059534417468,10.738240619811249,6.204000000000001,1,5,medium,red
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,0.17171716998265485,11.199977600044798,8.19,1,5,medium,red
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,0.6538461286982258,13.199973600052799,5.684,1,6,medium,red
7.9,0.8891499999999997,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,0.4482758466111777,8.884880070989071,5.445,1,6,medium,red
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,0.2539682499370119,11.275152650801811,7.871999999999999,1,5,medium,red
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,0.19230768860946754,11.608375372901577,7.315,1,5,medium,red
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,0.28888888246913597,17.34935578468486,5.888,1,5,medium,red
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,0.14285714149659864,13.92854655616686,5.130000000000001,1,5,medium,red
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,0.15740740594993144,13.92854655616686,5.130000000000001,1,5,medium,red
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.65,0.79,13.4,0.4285714217687076,15.294072664492164,10.586,1,6,medium,red
6.3,0.39,0.08,1.7,0.066,3.1700000000000017,20.0,0.9954,3.34,0.58,9.4,0.15849999207500048,16.153804733834015,5.452,1,5,medium,red
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,0.2269503530003521,12.089534194725081,5.828,1,5,medium,red
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,0.22340425294250796,8.529399221471731,5.2,1,5,medium,red
7.6,0.49,0.26,1.6,0.2,10.0,88.0,0.9968,3.11,0.8,9.3,0.11363636234504133,15.510172428219535,7.440000000000001,1,5,medium,red
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,0.3999999866666671,14.081603915094053,5.9159999999999995,1,6,medium,red
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,0.25581394753921055,20.499948750128123,6.405,1,6,medium,red
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,0.4545454132231443,22.121145087439128,5.4590000000000005,1,6,medium,red
9.2,0.52,0.74,3.4,0.2,32.0,69.0,0.9996,2.89,1.02,9.4,0.46376810922075207,17.69227366870448,9.588000000000001,1,4,low,red
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,0.25252524997449244,12.499979166701388,5.454,1,5,medium,red
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,0.2248061998077039,16.511589507931376,7.56,1,5,medium,red
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,0.21874999829101563,16.511589507931376,7.455,1,5,medium,red
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,0.5454545206611581,10.441161115939535,4.65,1,5,medium,red
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,0.2093023231476474,11.333314444475926,5.301,1,6,medium,red
7.6,0.8891499999999997,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,0.34999998250000086,8.547479561964169,5.376,1,5,medium,red
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.02,9.2,0.4499999775000011,11.176454152273303,9.383999999999999,1,4,low,red
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,0.5483870790842877,14.716953364238934,5.6000000000000005,1,6,medium,red
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,0.2975206586981764,12.333312777812038,4.606,1,5,medium,red
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,0.2892561959565604,12.372860384982397,4.606,1,5,medium,red
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,0.14583333181423613,12.380932728678207,5.89,1,5,medium,red
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,0.17821782001764536,10.624983398463439,5.303999999999999,1,5,medium,red
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,0.40476189512471683,13.272703140539742,4.32,1,4,low,red
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,0.24999999431818196,10.79363366089895,5.720000000000001,1,6,medium,red
7.5,0.705,0.24,1.8,0.2,15.0,63.0,0.9964,3.0,1.02,9.5,0.23809523431594867,10.638282782577614,9.69,1,5,medium,red
7.9,0.885,0.03,1.8,0.058,4.0,10.0,0.9972,3.36,0.33,9.1,0.39999996000000404,8.926543585826456,3.003,1,4,low,red
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,0.3333333148148158,19.047573696253107,5.611999999999999,1,6,medium,red
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,0.5714285578231296,11.935464620218355,6.555,1,6,medium,red
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,0.19999999428571447,19.21047576190589,4.465,1,5,medium,red
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,0.3877550941274471,13.7999724000552,7.41,1,5,medium,red
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,0.21052631024930765,14.42304918644387,6.405,1,6,medium,red
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,0.34999998250000086,8.695641371874071,5.376,1,5,medium,red
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,0.238095232426304,14.426205858678921,5.6049999999999995,1,5,medium,red
8.9,0.61,0.49,2.0,0.2,23.0,110.0,0.9972,3.12,1.02,9.3,0.20909090719008266,14.590140016163907,9.486,1,5,medium,red
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,0.3809523718820864,9.863000187670975,4.836,1,5,medium,red
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,0.16923076662721898,11.147522708979166,5.394,1,5,medium,red
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,0.12903225598335072,10.806434183170673,5.394,1,6,medium,red
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,0.3058823493425606,28.709584807790947,5.141,1,5,medium,red
7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,9.2,0.20895522076186238,18.974310322281227,5.06,1,5,medium,red
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,0.3461538328402372,10.92197032344635,4.752999999999999,1,5,medium,red
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,0.1048951041615727,15.7999684000632,5.2250000000000005,1,5,medium,red
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,9.5,0.11805555473572532,16.122416076701885,5.2250000000000005,1,5,medium,red
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,0.16535432940665884,16.399967200065596,5.828,1,5,medium,red
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,0.4285714198250731,17.297250547971494,6.0760000000000005,1,6,medium,red
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,0.12698412597631648,10.79363366089895,5.795,1,5,medium,red
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,0.24999999107142887,13.818156694260553,5.335,1,5,medium,red
7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,0.19999999833333335,13.220316575734618,5.0760000000000005,1,5,medium,red
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,0.2727272677685951,12.586185196232421,6.017999999999999,1,5,medium,red
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,0.44444442798353967,38.333205555981486,9.796999999999999,1,6,medium,red
5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,0.13978494473349523,6.467058123283685,11.049999999999999,1,7,high,red
6.9,0.8891499999999997,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,0.38709676170655605,7.760211707572733,4.902,1,4,low,red
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,10.3,0.37499998437500065,29.99990625029297,8.446,1,7,high,red
8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,1.02,9.3,0.26896551538644475,23.783719503460805,9.486,1,5,medium,red
